"Year";"month";"SOI";"P";"Panomaly"
1920;"Oct";-4.3;51.68;15.39
1920;"Nov";-0.1;53.35;6.04
1920;"Dec";9.8;82.47;10.57
1921;"Jan";10.8;93.09;-7.8
1921;"Feb";6.7;61.58;-27.48
1921;"Mar";8.9;109.07;34.35
1921;"Apr";-7.1;57.68;12.09
1921;"May";2.1;52.19;11.75
1921;"Jun";22;72.98;42.81
1921;"Jul";2.9;53.61;21.43
1921;"Aug";-6.9;26.71;-1.8
1921;"Sep";5.1;44.8;18.57
1921;"Oct";9.7;42.85;6.56
1921;"Nov";8.5;29.97;-17.34
1921;"Dec";8.2;105.24;33.34
1922;"Jan";8;73.26;-27.63
1922;"Feb";9.1;114.32;25.26
1922;"Mar";5.6;35.28;-39.44
1922;"Apr";-5.5;18.82;-26.77
1922;"May";-5.1;16.03;-24.41
1922;"Jun";5.8;27.07;-3.1
1922;"Jul";2.2;41.17;8.99
1922;"Aug";-1.2;14.27;-14.24
1922;"Sep";5.1;21.85;-4.38
1922;"Oct";6.1;30.14;-6.15
1922;"Nov";8.5;18.59;-28.72
1922;"Dec";11.8;100.42;28.52
1923;"Jan";5.6;56.77;-44.12
1923;"Feb";4.4;25.01;-64.05
1923;"Mar";8.9;47.78;-26.94
1923;"Apr";8.6;25.77;-19.82
1923;"May";2.1;26.08;-14.36
1923;"Jun";1;75.59;45.42
1923;"Jul";-11.5;31.47;-0.71
1923;"Aug";-18.5;17.8;-10.71
1923;"Sep";-14.8;25.63;-0.6
1923;"Oct";-6.2;25.99;-10.3
1923;"Nov";-12.6;21.84;-25.47
1923;"Dec";2.1;78.44;6.54
1924;"Jan";-5.4;68.18;-32.71
1924;"Feb";1.1;134.45;45.39
1924;"Mar";2.4;73.3;-1.42
1924;"Apr";-15.4;53.42;7.83
1924;"May";11.5;13.63;-26.81
1924;"Jun";8.3;26.97;-3.2
1924;"Jul";7.4;26.82;-5.36
1924;"Aug";10.4;45.42;16.91
1924;"Sep";8.1;36.23;10
1924;"Oct";7.9;44.88;8.59
1924;"Nov";11.8;95.56;48.25
1924;"Dec";5.2;76.4;4.5
1925;"Jan";5.6;121.24;20.35
1925;"Feb";13.8;81.12;-7.94
1925;"Mar";14.9;93.5;18.78
1925;"Apr";14.4;17.19;-28.4
1925;"May";-1.1;41.55;1.11
1925;"Jun";-4.7;35.6;5.43
1925;"Jul";-13.4;21.16;-11.02
1925;"Aug";-10.8;30.05;1.54
1925;"Sep";-6.4;18.03;-8.2
1925;"Oct";-12.9;11.38;-24.91
1925;"Nov";-9.3;47.1;-0.21
1925;"Dec";-7;50.07;-21.83
1926;"Jan";-5.4;66.89;-34
1926;"Feb";-14.5;20.36;-68.7
1926;"Mar";-13.3;69.97;-4.75
1926;"Apr";-7.1;40.59;-5
1926;"May";-2.7;44.39;3.95
1926;"Jun";-7.1;24.58;-5.59
1926;"Jul";-1;19.64;-12.54
1926;"Aug";-7.6;19.53;-8.98
1926;"Sep";1.4;44.42;18.19
1926;"Oct";4.2;16.93;-19.36
1926;"Nov";1.3;12.8;-34.51
1926;"Dec";6.2;88.94;17.04
1927;"Jan";5.1;101.12;0.23
1927;"Feb";1.1;74.49;-14.57
1927;"Mar";18.1;60.23;-14.49
1927;"Apr";6.9;32.08;-13.51
1927;"May";6;16.38;-24.06
1927;"Jun";8.3;33.49;3.32
1927;"Jul";6.1;21.09;-11.09
1927;"Aug";-5;17.45;-11.06
1927;"Sep";-0.4;17.99;-8.24
1927;"Oct";-4.3;35.93;-0.36
1927;"Nov";-8;43.93;-3.38
1927;"Dec";7.7;98.27;26.37
1928;"Jan";-10.1;60.04;-40.85
1928;"Feb";10.5;137.8;48.74
1928;"Mar";13.8;85.51;10.79
1928;"Apr";11.9;58.12;12.53
1928;"May";-2.7;15.53;-24.91
1928;"Jun";-7.9;34.17;4
1928;"Jul";-0.4;26.56;-5.62
1928;"Aug";9.8;8.33;-20.18
1928;"Sep";8.1;13.35;-12.88
1928;"Oct";9.1;25.63;-10.66
1928;"Nov";2.6;40;-7.31
1928;"Dec";11.8;57.89;-14.01
1929;"Jan";16;99.04;-1.85
1929;"Feb";18;101.49;12.43
1929;"Mar";5.1;64.28;-10.44
1929;"Apr";4.5;68.23;22.64
1929;"May";-12.2;10.4;-30.04
1929;"Jun";1;28.96;-1.21
1929;"Jul";1.6;11.82;-20.36
1929;"Aug";0.1;20.22;-8.29
1929;"Sep";-0.4;17.16;-9.07
1929;"Oct";7.9;25.21;-11.08
1929;"Nov";11.1;39.9;-7.41
1929;"Dec";5.7;57.89;-14.01
1930;"Jan";12.7;140.29;39.4
1930;"Feb";7.7;82.92;-6.14
1930;"Mar";1.8;39.9;-34.82
1930;"Apr";-3.8;19.82;-25.77
1930;"May";2.1;57.72;17.28
1930;"Jun";-5.5;50.64;20.47
1930;"Jul";-4.3;30.58;-1.6
1930;"Aug";-1.8;29.16;0.65
1930;"Sep";-7;15.89;-10.34
1930;"Oct";3.6;72.86;36.57
1930;"Nov";1.9;32.1;-15.21
1930;"Dec";-1.4;61.89;-10.01
1931;"Jan";7;60.82;-40.07
1931;"Feb";-14.9;38.51;-50.55
1931;"Mar";5.6;81.17;6.45
1931;"Apr";8.6;54.42;8.83
1931;"May";13.1;58.68;18.24
1931;"Jun";18.8;49.27;19.1
1931;"Jul";9.4;26.13;-6.05
1931;"Aug";0.1;14.23;-14.28
1931;"Sep";5.1;27.88;1.65
1931;"Oct";-12.9;22.84;-13.45
1931;"Nov";-4.7;64.66;17.35
1931;"Dec";4.7;87.69;15.79
1932;"Jan";1.8;51.59;-49.3
1932;"Feb";-3.6;46.82;-42.24
1932;"Mar";-2.5;64.47;-10.25
1932;"Apr";-2.1;47.89;2.3
1932;"May";2.8;40.95;0.51
1932;"Jun";-4.7;27.01;-3.16
1932;"Jul";-5;21.18;-11
