"time"	"HCI1"	"uHCI1"	"HCI2"	"uHCI2"	"HCI3"	"uHCI3"
2004	-1.718875	0.6161735	-0.4011785	0.48090185	-1.0257	0.7216238
2005	-0.1724425	0.43951692	-0.615904	0.7069104	-0.874079	0.8314488
2006	0.6481215	0.45191005	0.08749365	0.617641	-0.586694	0.7095518
2007	0.281644	0.43326582	0.426166	0.5829199	0.455275	0.6855768
2008	-0.5542565	0.46050845	1.35515	0.705946	1.88968	1.038544
2009	-0.7741295	0.5315759	2.076215	0.8992225	0.290516	0.73005636
2010	-0.681403	0.48621685	0.4677975	0.5789298	-2.06927	1.100366
2011	-0.270109	0.438545085	-0.4821095	0.6013264	-0.476404	0.9227051
2012	0.777052	0.43743945	1.053675	0.6920651	-1.10546	0.8078542
2013	-0.310552	0.4700048	3.38162	1.3247845	0.349736	0.790229739999999
2014	-0.266578	0.42614241	-0.09085735	0.60218435	-0.0397621	0.6229404
2015	0.352382	0.42849915	0.307611	0.511309115	0.241319	0.66005148
